Dataset;Training release;%Training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature selection;TP;FP;TN;FN;Precision;Recall;ROC Area;Kappa
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;Ibk;Oversampling;No selection;1964.0;28.0;107.0;406.0;0.9859437751004017;0.8286919831223629;0.8145663384903892;0.26776585641833844
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;RandomForest;Undersampling;No selection;1901.0;14.0;121.0;469.0;0.9926892950391645;0.8021097046413502;0.9464478824816378;0.2697388076592279
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;NaiveBayes;Undersampling;No selection;2005.0;45.0;90.0;365.0;0.9780487804878049;0.8459915611814346;0.8507407407407407;0.24208545494797445
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;Ibk;Undersampling;No selection;1947.0;14.0;121.0;423.0;0.9928607853136155;0.8215189873417722;0.8612408188779497;0.295576297526086
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;RandomForest;SMOTE;No selection;2368.0;26.0;109.0;2.0;0.9891395154553049;0.99915611814346;0.9752226910454759;0.8803602497185553
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;NaiveBayes;SMOTE;No selection;2315.0;70.0;65.0;55.0;0.9706498951781971;0.9767932489451476;0.8192873886544773;0.4836116264687693
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;Ibk;SMOTE;No selection;2346.0;19.0;116.0;24.0;0.9919661733615222;0.9898734177215189;0.9417533989685889;0.8345582306185922
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;RandomForest;No sampling;Best first;2370.0;80.0;55.0;0.0;0.9673469387755103;1.0;0.8211908110642288;0.5653871177618747
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;NaiveBayes;No sampling;Best first;2370.0;80.0;55.0;0.0;0.9673469387755103;1.0;0.8211908110642288;0.5653871177618747
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;Ibk;No sampling;Best first;2370.0;80.0;55.0;0.0;0.9673469387755103;1.0;0.8211908110642288;0.5653871177618747
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;RandomForest;Oversampling;Best first;1863.0;32.0;103.0;507.0;0.98311345646438;0.7860759493670886;0.8298577902797312;0.20647948164146862
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;NaiveBayes;Oversampling;Best first;2370.0;81.0;54.0;0.0;0.966952264381885;1.0;0.8119862478512268;0.5578111209179175
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;Ibk;Oversampling;Best first;1840.0;30.0;105.0;530.0;0.983957219251337;0.7763713080168776;0.8073277074542897;0.20177534994878793
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;RandomForest;Undersampling;Best first;1876.0;22.0;113.0;494.0;0.9884088514225501;0.7915611814345992;0.8708126269729646;0.23733493822352822
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;NaiveBayes;Undersampling;Best first;2186.0;66.0;69.0;184.0;0.9706927175843695;0.9223628691983122;0.8117596499453039;0.30696192025497193
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;Ibk;Undersampling;Best first;1782.0;18.0;117.0;588.0;0.99;0.7518987341772152;0.8368432567588686;0.2068187162003293
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;RandomForest;SMOTE;Best first;2348.0;51.0;84.0;22.0;0.9787411421425594;0.9907172995780591;0.9078981090795437;0.6820209186468087
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;NaiveBayes;SMOTE;Best first;2370.0;80.0;55.0;0.0;0.9673469387755103;1.0;0.814982028441944;0.5653871177618747
STORM;4;0.8451097804391218;0.05290505432215399;0.059278350515463915;Ibk;SMOTE;Best first;2340.0;43.0;92.0;30.0;0.9819555182543013;0.9873417721518988;0.9250695421159556;0.7006360042236576
STORM;5;0.8814215341308937;0.05389221556886228;0.04747774480712166;RandomForest;No sampling;No selection;2690.0;92.0;59.0;1.0;0.9669302659956865;0.9996283909327388;0.9097494468931268;0.5455083209811161
STORM;5;0.8814215341308937;0.05389221556886228;0.04747774480712166;NaiveBayes;No sampling;No selection;2312.0;66.0;85.0;379.0;0.9722455845248108;0.8591601635079896;0.8361056354145902;0.2133554601536855
