Dataset;Training release;%Training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature selection;TP;FP;TN;FN;Precision;Recall;ROC Area;Kappa
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;NaiveBayes;SMOTE;No selection;378.0;288.0;161.0;24.0;0.5675675675675675;0.9402985074626866;0.8379926647386675;0.2889417360285374
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;Ibk;SMOTE;No selection;313.0;50.0;399.0;89.0;0.8622589531680441;0.7786069651741293;0.8359344701880354;0.6706537143302623
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;RandomForest;No sampling;Best first;378.0;155.0;294.0;24.0;0.7091932457786116;0.9402985074626866;0.8573529900608317;0.5851075709581564
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;NaiveBayes;No sampling;Best first;378.0;155.0;294.0;24.0;0.7091932457786116;0.9402985074626866;0.8417738700705825;0.5851075709581564
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;Ibk;No sampling;Best first;382.0;191.0;258.0;20.0;0.6666666666666666;0.9502487562189055;0.8289648638766081;0.5134283383870819
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;RandomForest;Oversampling;Best first;346.0;148.0;301.0;56.0;0.7004048582995951;0.8606965174129353;0.8593225409699831;0.5247892258841563
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;NaiveBayes;Oversampling;Best first;387.0;194.0;255.0;15.0;0.6660929432013769;0.9626865671641791;0.8361533091779411;0.518530950788963
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;Ibk;Oversampling;Best first;340.0;126.0;323.0;62.0;0.7296137339055794;0.845771144278607;0.7961916475528815;0.5604773573916769
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;RandomForest;Undersampling;Best first;354.0;139.0;310.0;48.0;0.718052738336714;0.8805970149253731;0.8730512249443207;0.5643340734190592
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;NaiveBayes;Undersampling;Best first;381.0;175.0;274.0;21.0;0.685251798561151;0.9477611940298507;0.8364524814679387;0.5470380247342722
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;Ibk;Undersampling;Best first;343.0;122.0;327.0;59.0;0.7376344086021506;0.8532338308457711;0.8284440824829084;0.5767879172539613
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;RandomForest;SMOTE;Best first;340.0;102.0;347.0;62.0;0.7692307692307693;0.845771144278607;0.8962980199226585;0.6153947905069499
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;NaiveBayes;SMOTE;Best first;379.0;177.0;272.0;23.0;0.6816546762589928;0.9427860696517413;0.8386796529601436;0.5377939027900739
BOOKKEEPER;2;0.5781433607520564;0.5873983739837398;0.4456824512534819;Ibk;SMOTE;Best first;315.0;79.0;370.0;87.0;0.799492385786802;0.7835820895522388;0.8488154993407129;0.6082690921191283
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;RandomForest;No sampling;No selection;374.0;121.0;328.0;28.0;0.7555555555555555;0.9303482587064676;0.9043673614112068;0.6529544266449899
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;NaiveBayes;No sampling;No selection;340.0;112.0;337.0;62.0;0.7522123893805309;0.845771144278607;0.8778185907877095;0.5924710881638988
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;Ibk;No sampling;No selection;347.0;94.0;355.0;55.0;0.7868480725623582;0.8631840796019901;0.9063784640273023;0.6505268321991904
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;RandomForest;Oversampling;No selection;381.0;50.0;399.0;21.0;0.8839907192575406;0.9477611940298507;0.9652323017429556;0.8332565218471184
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;NaiveBayes;Oversampling;No selection;384.0;292.0;157.0;18.0;0.5680473372781065;0.9552238805970149;0.8418071114361378;0.2943879488811738
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;Ibk;Oversampling;No selection;367.0;49.0;400.0;35.0;0.8822115384615384;0.9129353233830846;0.9070599120211859;0.8023414644936873
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;RandomForest;Undersampling;No selection;402.0;12.0;437.0;0.0;0.9710144927536232;1.0;0.9953655996188323;0.9717557251908396
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;NaiveBayes;Undersampling;No selection;382.0;287.0;162.0;20.0;0.5710014947683109;0.9502487562189055;0.8399816064443927;0.3006009985410057
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;Ibk;Undersampling;No selection;402.0;11.0;438.0;0.0;0.9733656174334141;1.0;0.9880247980587042;0.974106048745135
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;RandomForest;SMOTE;No selection;402.0;0.0;449.0;0.0;1.0;1.0;1.0;1.0
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;NaiveBayes;SMOTE;No selection;380.0;305.0;144.0;22.0;0.5547445255474452;0.945273631840796;0.8302308058815057;0.2565342495398039
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;Ibk;SMOTE;No selection;402.0;0.0;449.0;0.0;1.0;1.0;1.0;1.0
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;RandomForest;No sampling;Best first;330.0;103.0;346.0;72.0;0.7621247113163973;0.8208955223880597;0.8590593801593369;0.5891191409644836
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;NaiveBayes;No sampling;Best first;374.0;147.0;302.0;28.0;0.7178502879078695;0.9303482587064676;0.8590593801593369;0.5937548589837666
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;Ibk;No sampling;Best first;330.0;103.0;346.0;72.0;0.7621247113163973;0.8208955223880597;0.8590593801593369;0.5891191409644836
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;RandomForest;Oversampling;Best first;372.0;73.0;376.0;30.0;0.8359550561797753;0.9253731343283582;0.9388386574920498;0.7585429883448986
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;NaiveBayes;Oversampling;Best first;378.0;194.0;255.0;24.0;0.6608391608391608;0.9402985074626866;0.8147708007844963;0.49722211682828066
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;Ibk;Oversampling;Best first;360.0;62.0;387.0;42.0;0.8530805687203792;0.8955223880597015;0.9094117386342231;0.7554705804341099
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;RandomForest;Undersampling;Best first;385.0;51.0;398.0;17.0;0.8830275229357798;0.9577114427860697;0.973514941993817;0.8404055224300457
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;NaiveBayes;Undersampling;Best first;382.0;194.0;255.0;20.0;0.6631944444444444;0.9502487562189055;0.8231282341078572;0.5066987382643415
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;Ibk;Undersampling;Best first;375.0;42.0;407.0;27.0;0.8992805755395683;0.9328358208955224;0.974008022249554;0.8376587291713322
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;RandomForest;SMOTE;Best first;387.0;47.0;402.0;15.0;0.8917050691244239;0.9626865671641791;0.9807061574089464;0.8544496551724136
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;NaiveBayes;SMOTE;Best first;383.0;193.0;256.0;19.0;0.6649305555555556;0.9527363184079602;0.8310258285410365;0.5113090304300953
BOOKKEEPER;3;1.0;0.5276145710928319;NaN;Ibk;SMOTE;Best first;370.0;30.0;419.0;32.0;0.925;0.9203980099502488;0.9865012354707532;0.8538051881120081
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;RandomForest;No sampling;No selection;536.0;208.0;331.0;28.0;0.7204301075268817;0.950354609929078;0.8836333372807537;0.5686637105380022
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;NaiveBayes;No sampling;No selection;458.0;192.0;347.0;106.0;0.7046153846153846;0.8120567375886525;0.8521756865221911;0.4574592055354367
